"","Site","Tree","waterhole_dist","building_dist","fence_dist","road_dist"
"42","E","E2",259.195598892447,355.450178655991,1832.25396496832,106.73769350821
"43","E","E3",347.00495369513,473.029215725568,1856.07653669993,114.516466414494
"44","F","F1",338.158492167989,1462.95181032855,281.414748501872,3.35243805271059
"45","F","F2",330.622136926636,1457.2109354136,283.932000610577,8.13091219676488
"46","F","F3",335.711804812245,1475.35099940483,260.864519318,17.1643352044907
"47","F","F4",316.669796324166,1454.82999757768,276.324482303094,19.4481092961379
"48","F","F5",310.304085160815,1453.65807090184,272.665007692151,11.1173680759968
"49","F","F6",258.358070080436,1420.73648121631,279.767928553956,16.2345726258695
"50","F","F7",250.915649484878,1415.98733590856,280.934356230824,15.9908640189824
"51","F","F8",250.126935900612,1409.6969523336,290.101232768606,11.1977828597151
"52","F","F9",247.974477449724,1405.58725865561,294.638582540111,7.97889804076243
"53","F","F10",245.179982566028,1400.3988081291,300.238121977163,4.17032151342022
"54","F","F11",324.383497928891,1421.0758461926,329.778376763862,18.1850144412507
"55","G","G1",636.390309392668,1538.73160040413,378.529593064343,18.5034343018069
"56","G","G2",565.495879064118,1558.39296266996,346.308639802745,26.5970378713791
"57","G","G3",548.954082389106,1544.79879114205,346.754883360221,23.3548108261535
"58","G","G4",547.915112111857,1538.38590546907,354.527498549421,16.0069467870249
"59","G","G5",574.712238655316,1532.33356824396,392.111572260304,14.5551105767968
"60","G","G6",622.108514276606,1531.71586550142,351.261692192808,41.201335460837
"61","H","H2",865.875332188538,1084.26378133085,396.37902015747,50.9354769807315
"62","H","H3",892.791075055582,1116.28375042739,362.630112896226,67.5045835776123
"63","H","H5",822.094228968336,1109.91452289598,394.424489975013,56.4826351230063
"64","H","H6",845.253906054795,1045.26358067985,433.621769197161,15.5315133358701
"65","I","I1",253.08354940663,1145.57271160201,960.909019398568,16.9360329616757
"66","I","I2",244.215030773278,1131.24575086848,975.553888491324,28.7763055592844
"67","J","J1",276.724741218783,1587.93761388253,315.023005747301,40.525065385627
"68","J","J2",269.355462761884,1590.57451808256,318.124574165376,45.9740279031009
"69","K","K1",446.477530333338,1262.40412690128,798.430537055815,0
"70","K","K2",443.798268654749,1277.85347277923,821.133447896963,8.36761780303857
"71","K","K3",452.167604943478,1286.46300804987,816.136564054446,17.1216137639066
"72","K","K4",484.604950349494,1308.76892233937,782.015588837699,43.3836103883228
"73","K","K5",520.592007183916,1337.59483403458,749.567199364625,69.3841163180905
"74","K","K6",530.263378475534,1348.34851119795,744.952465450169,64.8289563391227
"75","K","K7",521.542761314119,1337.89708623487,748.101580554689,67.9143309167676
"76","K","K8",522.25931893065,1288.44579894931,700.216474457039,14.2593115758181
"77","K","K9",462.833863611175,1267.13177246472,775.494036504311,13.6881443148723
"78","M","M1",314.63529120608,786.332608523364,797.869116651389,14.0063638263074
"79","M","M2",315.729977363399,785.443703895838,799.508534768157,16.2974235367719
"80","M","M3",314.784537461963,787.807658005455,801.621118577083,19.7209390614173
"81","M","M4",350.307123600503,779.179007135119,847.304649039692,41.9519581901058
"82","M","M5",356.616420842117,768.503562561004,853.204660762534,34.1570750579444
"83","S","S1",70.6642677761283,1040.95552223229,461.517947653708,0
"84","S","S2",68.5518453072896,1044.10570216549,457.257909219535,0
"85","S","S3",50.3281199075159,1064.37766735534,437.10666191918,14.3846965455894
"86","S","S4",41.28356123504,1117.58268230024,379.696370301348,44.9956919776619
"87","S","S5",28.9645792828835,1106.41062879879,394.640363719852,44.5543495623243
"88","S","S6",25.2786447729343,1135.66646788097,375.50256573907,85.1882367876977
"89","S","S7",26.5142495618819,1135.42135194297,372.933192650575,79.9531010822947
"90","S","S8",29.2596689908079,1135.48522724827,380.438530405543,93.1860262726611
"91","S","S9",22.3840905744497,1088.49092494941,421.688086487896,48.1814683977194
"92","S","S10",22.7916010465268,1087.64000164616,421.485321820315,45.708975449708
"93","S","S11",32.1961898359375,1078.23139108573,430.479017771391,37.948947971185
"94","U","U1",1113.50571641616,1699.69412313439,3913.65655031279,53.0329219390106
"95","U","U2",1116.69028113294,1697.29853791228,3907.74800025511,42.6090346895358
"96","U","U3",1126.33064767758,1708.24495398953,3898.99211025426,53.8742261794409
"97","U","U4",1079.06839691867,1738.68662748086,3846.9078452801,59.7342746099209
"98","U","U5",1085.91846343612,1745.20269533565,3844.91817598317,67.442606412667
"99","U","U7",1094.99705479854,1748.05383904748,3846.61603883924,73.1649161933881
"100","U","U8",1118.34325674195,1778.56711243579,3834.28046849989,117.280476605492
"101","U","U10",1146.45376159461,1731.86420329802,3881.34434555935,79.3509594995138
"102","W","W1",722.161574569614,857.636170768916,2102.16650073319,166.785492412799
"103","W","W2",711.689640946062,845.404515867453,2132.79504060633,158.525976958752
"104","W","W3",723.441267955541,866.978751385948,2180.26391594058,180.14150792064
"105","W","W4",741.344751237838,873.993305432948,2172.05246387787,187.444755051395
"106","W","W5",804.449833864102,938.591245198659,2192.56821193322,251.298380661645
"107","W","W6",764.467316298915,899.842872339715,2134.43797863731,196.13372384013
"108","W","W7",778.857523507488,913.017260266971,2173.36913996046,225.705690615177
"109","W","W8",770.657084222223,904.516115930582,2173.26283352039,217.526289138705
"110","W","W9",753.484342587889,887.085351948912,2165.37726047741,200.291386926046
"111","X","X1",377.652155472468,195.103318237598,26.4237025005397,164.000826421322
"112","X","X2",364.087330347281,190.06584952684,14.7543326341167,171.167624462153
"113","X","X3",342.457166677363,190.005469086057,0.173941974589293,160.144799055004
"114","X","X4",347.526360554136,248.16878917933,51.5919572054678,79.127292212118
"115","Z","Z1",290.653547108527,315.303966557091,6745.7628296345,97.6678237440751
